name,description,address,latitude,longitude
Leuchtstoff Kaffeebar,"Café de especialidad bastante decente en un local grande con espacio para trabajar y bancos en la calle.
",Siegfriedstraße 18,52.468267364603435,13.432445053043422
Schillermarkt,"Mercado de productores en el corazón de Neukölln.
",Herrfurthplatz,52.47735706149071,13.422736997220522
Gazzo,"Pizza con pan de masa madre.
",Hobrechtstraße 57,52.49128602416569,13.425898299068328
Isla coffee,"Vivió mejores momentos cafeterilmente hablando hace unos años, ahora es un sitio correcto donde tomar un cruasán o un kimcheese.
",Hermannstraße 37,52.48058617178727,13.424879566538284
Smartdeli Sushi and More,"Restaurante japonés que también vende snacks y otros productos de Japón.
",Novalisstraße 2,52.52832929299127,13.389288376705881
3 Schwestern,"Un restaurante que ofrece comida típica alemana situado en el interior de  un antiguo hospital construido en 1846.
",Mariannenpl. 2,52.505166826173365,13.423695851822046
Das neue Café Leo,"Una caftería situada en un kiosko en medio de una plaza del barrio de Wedding, que además de ofrecer café de especialidad a precios populares, ofrece asesoramiento social y actividades vecinales.
",Auf dem Leopoldplatz,52.54719755887236,13.358785015341178
MIBAP,"Cocina fusión taiwanesa con opciones veganas.
",Torstraße 22,52.527908251990475,13.413073501974143
DASHI,"Diner asiático. Favoritos: Tempeh Sando (V) y Korokke Curry (V)
",Invalidenstraße 112,52.530706060553854,13.383605195376553
Trauma Bar und Kino,"Club, bar, cine, sala de conciertos y arte. Aquí se celebró el quinto aniversario de New Models. Está cerca de Berlin Hauptbahnhof. No hay mucho más alrededor.
","Heidestraße, 50",52.5306327,13.3667562
Town Mouse Coffee,"
",Marienburger Str. 5,52.535379464403334,13.423648746035223
tenzan lab.,"Kakigōris y taiyakis
","Wörther Straße, 22",52.5357069,13.4210922
Motto Berlin,"Librería a la que ya no voy desde que descubrí que no paga a sus proveedores.
","Skalitzer Straße, 68, Luisenstadt",52.5000847,13.439883
Modulor,"Modulor Material Total
","Prinzenstraße, 85",52.5033859,13.4100566
Ma-Makan,"Delicias malayas y singapurenses. Ojito al «Kaya croissant».
",Lausitzer Pl. 12,52.501010546828965,13.431502823278532
Father Carpenter Coffee Brewers,"Mucha cola durante el fin de semana, mejor ir muy pronto o evitar directamente.
","Münzstraße, 21, Scheunenviertel",52.5244438,13.4065961
Dotori Korean Anju Bar,"Bonitísimo y compactísimo y riquísimo bar de tapas coreanas.
",Gustav-Adolf-Straße 159,52.553966826503334,13.433880192070449
Café Strauss,"Un café muy tranquilo frente a un cementerio muy tranquilo (espero).
","Bergmannstraße, 42",52.4886291,13.4011481
Bonanza,"
","Adalbertstraße, 70",52.504183,13.420258
Zola,"La «Zola Neapolitan mit Fior di Latte, Birne, Walnüssen und Gorgonzola» estaba muy rica.
","Paul-Lincke-Ufer, 39-40",52.49674658332709,13.42246464603288
do you read me?!,"
",Auguststraße 28,52.52726714641086,13.397690437523185
Bartleby & Co,"Librería española capitaneada por Ana Pareja.
",Boppstraße 2,52.493500792859805,13.435139298296505
