name,description,address,latitude,longitude
Museum of the Moving Image,"
","36-01 35th Ave, Queens",40.75642664148452,-73.92402470445512
"Printed Matter, Inc.","Institución fanzinera.
",231 11th Ave,40.75092284674894,-74.00595908911104
Economy Candy,"La tienda de dulces más antigua de Nueva York
",323 6th Ave,40.73138443306871,-74.00165074493151
IFC Center,"Para ver pelis independientes. Hay dos mirillas en el muro exterior que permiten ver las películas que proyectan.
",323 6th Ave,40.73139256313356,-74.00171511794787
Metrograph,"Cine indie chiquito y bonito al que iría todas las semanas si viviera en la ciudad.
",7 Ludlow St,40.715305538423884,-73.99098578508807
Unnameable Books,"Bien bonita y bien surtida librería de segunda mano de nombre difícil de pronunciar.
","615 Vanderbilt Ave, Brooklyn",40.679060919567554,-73.96841803514663
Left Bank Books,"Libros de segunda mano bonitos de ver y caros de comprar.
",41 Perry St,40.73599295020406,-74.00280521609535
Sweet Pickle Books,"Si tus gustos se encuentran en la intersección de los pepinillos y los libros estás de enhorabuena.
",47 Orchard St,40.71666757262507,-73.99126414493215
Dashwood Books,"La única tienda independiente de libros de fotografía de Nueva York. La manager de la tienda, Miwa Susuda, te hará una foto y la subirá a instagram si le compras algún libro.
",33 Bond St,40.7262745160936,-73.99343164307919
Sit & Wonder,"Cuando fui a esta cafetería me tocó el barista aprendiz
","688 Washington Ave, Brooklyn",40.67739967774963,-73.9638492637935
Quimby's Bookstore NYC,"Sales de Desert Island y te metes aquí.
",536 Metropolitan Ave,40.7139612724994,-73.95093182857953
Prospect Park,"Un parque bien majo
","Brooklyn, NY",40.66079205923622,-73.96930685789933
Nûrish,"Café con platos vegetarianos y veganos (pero también con opciones para carnívoros)
","637 Washington Ave, Brooklyn",40.67840685350245,-73.96369051873681
Mast Books,"Tienen una colección exquisita de primeras ediciones, libros raros y descatalogados, pero son un poco bordes.
","72 Avenue A, New York",40.72515257580894,-73.98442797315501
Hungry Ghost,"
","183 Sterling Pl, Brooklyn",40.67691397746196,-73.97148321854978
Goods for the Study,"Ahora que cerró CW Pencil Enterprise este es un buen sitio donde comprar material de oficina.
","234 Mulberry St, New York",40.72273113413452,-73.99588703974875
Desert Island,"Desert Island is a record store located in the East Village neighborhood of Manhattan, New York City. It is located at 540 East 5th Street, between Avenues A and B.
",540 E 5th St,40.713979006545344,-73.95083660504864
Blue Bottle Coffee,"Para disfrutar de un buen latte por $6
","203 7th Ave, Brooklyn",40.67111496700548,-73.97825295003133
Banh Mi Place,"
","824b Washington Ave, Brooklyn",40.67329930729744,-73.96314417387886
Most High,"
","820 Washington Ave, Brooklyn",40.67349277538117,-73.96322140362759
